Mon,10,Work,103 Meeting
Mon,11,Work,103 Tutorial
Mon,13,Personal,Lunch
Mon,14,Work,103 Tutorial
Mon,16,Work,103 Lab
Mon,17,Personal,Squash
Tue,9,Work,Office Hour
Tue,13,Personal,Lunch
Tue,17,Personal,Squash
Wed,9,Work,Office Hour
Wed,10,Work,103 Lab
Wed,11,Work,103 Tutorial
Wed,12,Work,103 Tutorial
Wed,13,Personal,Lunch
Wed,16,Personal,Squash
Thu,11,Work,Office Hour
Thu,12,Work,103 Tutorial
Thu,13,Personal,Lunch
Thu,14,Work,Office Hour
Thu,15,Work,103 Tutorial
Thu,17,Personal,Squash
Fri,10,Work,103 Tutorial
Fri,11,Work,103 Tutorial
Fri,13,Personal,Lunch
Fri,14,Work,103 Lab
Fri,15,Work,103 Lab
Tue,11,Personal,Meet Lawyer
Thu,9,Personal,Meet Plumber
